,start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,habit_clean,date,minutes_after_sunset,minutes_after_rat_arrival
31,2018-01-27 23:46:00,31.0,rat,2018-01-27 23:44:00,2018-01-27 23:50:00,122,1,0,1,2018-01-27 17:09:00,6.621666667,0,rat,2018-01-27,397.0,2.033333333333333
32,2018-01-27 23:47:00,0.010695699,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,186,0,1,1,2018-01-27 17:09:00,6.639444444,0,fast,2018-01-27,398.0,3.1
33,2018-01-27 23:48:00,2.0,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,231,0,1,1,2018-01-27 17:09:00,6.651944444,0,fast,2018-01-27,399.0,3.85
34,2018-01-27 23:48:00,1.0,gaze,2018-01-27 23:44:00,2018-01-27 23:50:00,246,0,0,1,2018-01-27 17:09:00,6.656111111,0,Other,2018-01-27,399.0,4.1
35,2018-01-27 23:48:00,9.0,pick,2018-01-27 23:44:00,2018-01-27 23:50:00,253,0,1,1,2018-01-27 17:09:00,6.658055556,0,pick,2018-01-27,399.0,4.216666666666667
36,2018-01-27 23:50:00,6.0,pick,2018-01-27 23:44:00,2018-01-27 23:50:00,355,0,1,1,2018-01-27 17:09:00,6.686388889,0,pick,2018-01-27,401.0,5.916666666666667
37,2018-01-28 04:20:00,11.0,pick,2018-01-28 04:08:00,2018-01-28 04:20:00,742,0,1,1,2018-01-27 17:09:00,11.1975,0,pick,2018-01-28,671.0,12.366666666666667
38,2018-01-01 01:52:00,2.0,fast,2018-01-01 01:50:00,2018-01-01 01:55:00,115,0,1,1,2017-12-31 16:46:00,9.108333333,0,fast,2018-01-01,546.0,1.9166666666666667
39,2018-01-31 19:44:00,3.0,rat,2018-01-31 19:41:00,2018-01-31 19:45:00,195,1,0,1,2018-01-31 17:13:00,2.522777778,0,rat,2018-01-31,151.0,3.25
40,2018-01-31 22:23:00,1.0,fast,2018-01-31 22:20:00,2018-01-31 22:24:00,168,0,1,1,2018-01-31 17:13:00,5.168333333,0,fast,2018-01-31,310.0,2.8
